Free Bird,Lynyrd Skynyrd,1973,E Standard,Rock Hits 1,01.11.11,Classic Rock Pack,"October 17, 2012"
Bodysnatchers,Radiohead,2007,Drop D,Rock Hits 1,01.11.11,None,28.09.12
Tighten Up,The Black Keys,2010,E Standard,Rock Hits 1,01.11.11,None,"January 8, 2013"
Smoke on the Water,Deep Purple,1997,E Standard,Rock Hits 70s,15.11.11,Classic Rock Pack,"October 17, 2012"
More than a Feeling,Boston,1976,E Standard,Rock Hits 70s,15.11.11,Classic Rock Pack,"October 17, 2012"
Jessica,The Allman Brothers Band,1973,E Standard,Rock Hits 70s + The Allman Brothers Band pack,15.11.11,The Allman Brothers Band pack,27.11.12
Cousins,Vampire Weekend,2010,E Standard,Rock Hits 2,29.11.11,Alternative Rock,13.11.12
20th Century Boy,T. Rex,1973,E Standard: A443,Rock Hits 2,29.11.11,None,28.09.12
I Hate Everything About You,Three Days Grace,2004,Drop D,Rock Hits 2,29.11.11,Metal Rock Pack,"December 11, 2012"
Symphony of Destruction,Megadeth,1992,E Standard,Megadeth Song Pack,"December 13, 2011",Megadeth Song Pack,28.09.12
Hangar 18,Megadeth,1990,E Standard,Megadeth Song Pack,"December 13, 2011",Megadeth Song Pack,28.09.12
Public Enemy No. 1,Megadeth,2011,E Standard,Megadeth Song Pack,"December 13, 2011",Megadeth Song Pack + Metal Rock Pack,"December 11, 2012"
Carol of the Bells,Seth Chapla,2011,E Standard,Holiday Song Pack,"December 20, 2011",Holiday Song Pack,"December 18, 2012"
"God Rest Ye Merry, Gentlemen",Brian Adam McCune,2011,E Standard,Holiday Song Pack,"December 20, 2011",Holiday Song Pack,"December 18, 2012"
We Three Kings,Versus Them,2011,E Standard,Holiday Song Pack,"December 20, 2011",Holiday Song Pack,"December 18, 2012"
Just Got To Be,The Black Keys,2006,E Standard,The Black Keys Song Pack,"December 27, 2011",The Black Keys Song Pack + Alternative Pack,27.11.12
Mind Eraser,The Black Keys,2011,E Standard,The Black Keys Song Pack,"December 27, 2011",The Black Keys Song Pack + Alternative Pack,27.11.12
Gold on the Ceiling,The Black Keys,2011,Drop D,The Black Keys Song Pack,"December 27, 2011",The Black Keys Song Pack + Alternative Pack,27.11.12
(Don't Fear) The Reaper,Blue Öyster Cult,1976,E Standard,Rock Hits 60s-70s + Blue Öyster Cult Song Pack,"January 17, 2012",Blue Öyster Cult Song Pack + Classic Rock Pack,"October 17, 2012"
Space Oddity,David Bowie,1969,E Standard,Rock Hits 60s-70s,"January 17, 2012",None,27.11.12
Barracuda,Heart,1977,E Standard,Rock Hits 60s-70s,"January 17, 2012",Classic Rock Pack,"October 17, 2012"
Jeremy,Pearl Jam,1991,E Standard,Pearl Jam Song Pack,"February 7, 2012",Pearl Jam Song Pack + Alternative Pack,27.11.12
Black,Pearl Jam,1991,E Standard,Pearl Jam Song Pack,"February 7, 2012",Pearl Jam Song Pack,"December 18, 2012"
Dammit,Blink-182,1997,E Standard,Blink-182 Song Pack,"February 21, 2012",Blink-182 Song Pack,28.09.12
All The Small Things,Blink-182,2000,E Standard,Blink-182 Song Pack,"February 21, 2012",Blink-182 Song Pack,28.09.12
What's My Age Again?,Blink-182,1999,E Standard,Blink-182 Song Pack,"February 21, 2012",Blink-182 Song Pack,28.09.12
Kryptonite,3 Doors Down,2000,E Standard,3 Doors Down Song Pack,"March 6, 2012",None,28.09.12
Loser,3 Doors Down,2000,E Standard,3 Doors Down Song Pack,"March 6, 2012",Alternative Pack,27.11.12
When I'm Gone,3 Doors Down,2002,E Standard,3 Doors Down Song Pack,"March 6, 2012",Alternative Pack,27.11.12
The Thrill is Gone,B.B. King,1969,E Standard,Blues Hits,"March 20, 2012",None,28.09.12
Born Under a Bad Sign,Albert King with Stevie Ray Vaughan,1967,E Standard,Blues Hits,"March 20, 2012",None,"October 17, 2012"
Soul Man,The Blues Brothers,1978,E Standard,Blues Hits,"March 20, 2012",Classic Rock Pack,"October 17, 2012"
Bring Me to Life,Evanescence,2003,E Standard,Rock Hits 3,03.04.12,Metal Rock Pack,"December 11, 2012"
Pumped Up Kicks,Foster the People,2011,E Standard,Rock Hits 3,03.04.12,None,28.09.12
This Love,Maroon 5,2002,E Standard,Rock Hits 3,03.04.12,None,"October 17, 2012"
Breaking the Law,Judas Priest,1980,E Standard,Judas Priest Song Pack,17.04.12,Judas Priest Song Pack + Metal Rock Pack,"December 11, 2012"
Living After Midnight,Judas Priest,1980,E Standard,Judas Priest Song Pack,17.04.12,Judas Priest Song Pack + Metal Rock Pack,"December 11, 2012"
Painkiller,Judas Priest,1990,E Standard,Judas Priest Song Pack,17.04.12,Judas Priest Song Pack + Metal Rock Pack,"December 11, 2012"
Roxanne,The Police,1978,E Standard,The Police Song Pack,"May 1, 2012",Classic Rock Pack,"October 17, 2012"
Message in a Bottle,The Police,1979,E Standard,The Police Song Pack,"May 1, 2012",Classic Rock Pack,"October 17, 2012"
Synchronicity II,The Police,1983,E Standard,The Police Song Pack,"May 1, 2012",Classic Rock Pack,"October 17, 2012"
Gone Away,The Offspring,1997,E Standard,The Offspring Song Pack,"May 15, 2012",Offspring Song Pack + Alternative Pack,27.11.12
Come Out and Play (Keep 'Em Separated),The Offspring,1994,E Standard,The Offspring Song Pack,"May 15, 2012",Offspring Song Pack + Alternative Pack,27.11.12
Self Esteem,The Offspring,1994,E Standard,The Offspring Song Pack,"May 15, 2012",Offspring Song Pack + Alternative Pack,27.11.12
Planetary (GO!),My Chemical Romance,2011,E Standard,My Chemical Romance Song Pack,"May 29, 2012",My Chemical Romance Song Pack,"October 17, 2012"
Welcome To The Black Parade,My Chemical Romance,2006,E Standard,My Chemical Romance Song Pack,"May 29, 2012",My Chemical Romance Song Pack,"October 17, 2012"
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,2010,E Standard,My Chemical Romance Song Pack,"May 29, 2012",My Chemical Romance Song Pack,"October 17, 2012"
Keep Yourself Alive,Queen,1973,E Standard,Queen Song Pack,"June 12, 2012",Classic Rock Pack,"October 17, 2012"
Bohemian Rhapsody,Queen,1975,E Standard,Queen Song Pack,"June 12, 2012",Classic Rock Pack,"October 17, 2012"
Fat Bottomed Girls,Queen,1978,Drop D: A445,Queen Song Pack,"June 12, 2012",Classic Rock Pack,"October 17, 2012"
Killer Queen,Queen,1974,E Standard,Queen Song Pack,"June 12, 2012",Classic Rock Pack,"October 17, 2012"
Stone Cold Crazy,Queen,1974,E Standard,Queen Song Pack,"June 12, 2012",Classic Rock Pack,"October 17, 2012"
Godzilla,Blue Öyster Cult,1977,E Standard,Rock Hits 4 + Blue Öyster Cult Song Pack,"June 26, 2012",Blue Öyster Cult Song Pack,"October 17, 2012"
My Sharona,The Knack,1979,E Standard,Rock Hits 4,"June 26, 2012",None,"October 17, 2012"
Hit Me with Your Best Shot,Pat Benatar,1980,E Standard,Rock Hits 4,"June 26, 2012",None,28.09.12
Redneck,Lamb of God,2006,Drop D,Rock Hits 5,"July 10, 2012",2000 Rock Hits 01,"December 11, 2012"
I Believe in a Thing Called Love,The Darkness,2003,E Standard,Rock Hits 5,"July 10, 2012",2000 Rock Hits 01,"October 17, 2012"
Paralyzer,Finger Eleven,2006,E Standard,Rock Hits 5,"July 10, 2012",2000 Rock Hits 01,"October 17, 2012"
My Girl,The Temptations,1964,E Standard,Soul Hits,"July 24, 2012",None,"October 17, 2012"
(Sittin' On) The Dock of the Bay,Otis Redding,1967,E Standard,Soul Hits,"July 24, 2012",Classic Rock Pack,"October 17, 2012"
What's Going On,Marvin Gaye,1971,E Standard,Soul Hits,"July 24, 2012",None,"October 17, 2012"
Born on the Bayou,Creedence Clearwater Revival,1969,E Standard,Rock Hits 60's,21.08.12,None,"December 18, 2012"
In-A-Gadda-Da-Vida,Iron Butterfly,1968,E Standard,Rock Hits 60's,21.08.12,None,"January 8, 2013"
Whipping Post,The Allman Brothers Band,1969,E Standard,Rock Hits 60's + The Allman Brothers Band pack,21.08.12,The Allman Brothers Band pack,"January 8, 2013"
Mississippi Queen,Mountain,1970,E Standard,Rock Hits 70's 2,04.09.12,None,27.11.12
Drift Away,Dobie Gray,1972,E Standard,Rock Hits 70's 2,04.09.12,None,27.11.12
The Man Who Sold The World (song),David Bowie,1970,E Standard,Rock Hits 70's 2,04.09.12,None,27.11.12
We're Not Gonna Take It,Twisted Sister,1984,E Standard,Rock Hits 80's,18.09.12,None,27.11.12
The Final Countdown,Europe,1986,E Standard,Rock Hits 80's,18.09.12,None,27.11.12
Is This Love,Whitesnake,1987,E Standard,Rock Hits 80's,18.09.12,None,27.11.12
Caring Is Creepy,The Shins,2001,E Standard,Indie Rock Hits,"October 2, 2012",None,"October 3, 2012"
Bright Lights,Gary Clark Jr.,2010,E Standard,Indie Rock Hits,"October 2, 2012",None,"October 3, 2012"
Paris (Ooh La La),Grace Potter and the Nocturnals,2010,E Standard,Indie Rock Hits,"October 2, 2012",None,"October 3, 2012"
Beast and the Harlot,Avenged Sevenfold,2005,Drop D,Avenged Sevenfold Song Pack,"October 30, 2012",Metal Rock Pack,"October 30, 2012"
Afterlife,Avenged Sevenfold,2007,Drop D,Avenged Sevenfold Song Pack,"October 30, 2012",Metal Rock Pack,"October 30, 2012"
Nightmare,Avenged Sevenfold,2010,Drop D,Avenged Sevenfold Song Pack,"October 30, 2012",Metal Rock Pack,"October 30, 2012"
Limelight,Rush,1981,E Standard,Rush Song Pack,13.11.12,Rush Song Pack + Alternative Pack,13.11.12
Red Barchetta,Rush,1981,E Standard,Rush Song Pack,13.11.12,Rush Song Pack + Alternative Pack,13.11.12
Subdivisions,Rush,1982,E Standard,Rush Song Pack,13.11.12,Rush Song Pack + Alternative Pack,13.11.12
Tom Sawyer,Rush,1981,E Standard,Rush Song Pack,13.11.12,Rush Song Pack + Alternative Pack,13.11.12
YYZ,Rush,1981,E Standard,Rush Song Pack,13.11.12,Rush Song Pack + Alternative Pack,13.11.12
Headlong Flight,Rush,2012,E Standard,None,13.11.12,None,13.11.12
Give Up the Funk (Tear the Roof off the Sucker),Parliament,1976,E Standard,Funk Hits,27.11.12,None,27.11.12
Good Times,Chic,1979,E Standard,Funk Hits,27.11.12,None,27.11.12
Super Freak,Rick James,1981,E Standard,Funk Hits,27.11.12,None,27.11.12
Cowboys from Hell,Pantera,1990,E Standard,Pantera Song Pack,"December 4, 2012",Pantera Song Pack,"December 4, 2012"
Domination,Pantera,1990,E Standard,Pantera Song Pack,"December 4, 2012",Pantera Song Pack,"December 4, 2012"
Walk,Pantera,1992,Drop D,Pantera Song Pack,"December 4, 2012",Pantera Song Pack,"December 4, 2012"
How You Remind Me,Nickelback,2001,Drop D,Nickelback Song Pack,"December 11, 2012",Nickelback Song Pack,"December 11, 2012"
Rockstar,Nickelback,2006,E Standard,Nickelback Song Pack,"December 11, 2012",Nickelback Song Pack,"December 11, 2012"
Bottoms Up,Nickelback,2011,Drop D,Nickelback Song Pack,"December 11, 2012",Nickelback Song Pack,"December 11, 2012"
Best of You,Foo Fighters,2005,E Standard,Foo Fighters,"December 18, 2012",Foo Fighters,"December 18, 2012"
My Hero,Foo Fighters,1998,E Standard,Foo Fighters,"December 18, 2012",Foo Fighters,"December 18, 2012"
Times Like These,Foo Fighters,2003,E Standard,Foo Fighters,"December 18, 2012",Foo Fighters,"December 18, 2012"
Walk,Foo Fighters,2011,E Standard,Foo Fighters,"December 18, 2012",Foo Fighters,"December 18, 2012"
Wheels,Foo Fighters,2009,E Standard,Foo Fighters,"December 18, 2012",Foo Fighters,"December 18, 2012"
Black Magic Woman/Gypsy Queen,Santana,1970,E Standard,Santana,"January 8, 2013",Santana,"January 8, 2013"
Oye Como Va,Santana,1970,E Standard,Santana,"January 8, 2013",Santana,"January 8, 2013"
Smooth,Santana feat. Rob Thomas,1999,E Standard,Santana,"January 8, 2013",Santana,"January 8, 2013"
Cliffs of Dover,Eric Johnson,1990,E Standard,Rock Hits 90s,"January 15, 2013",Rock Hits 90s,"January 15, 2013"
No Rain,Blind Melon,1992,E Standard,Rock Hits 90s,"January 15, 2013",Rock Hits 90s,"January 15, 2013"
Alive,Pearl Jam,1991,E Standard,Rock Hits 90s + Pearl Jam Song Pack,"January 15, 2013",Rock Hits 90s + Pearl Jam Song Pack,"January 15, 2013"
Juicebox,The Strokes,2006,E Standard,The Strokes,"January 22, 2013",The Strokes,"January 22, 2013"
Last Nite,The Strokes,2001,E Standard,The Strokes,"January 22, 2013",The Strokes,"January 22, 2013"
Reptilia,The Strokes,2003,E Standard,The Strokes,"January 22, 2013",The Strokes,"January 22, 2013"
American Woman,The Guess Who,1970,E Standard,Rock Hits 60s-70s 2,"January 29, 2013",Rock Hits 60s-70s 2,"January 29, 2013"
Born to Be Wild,Steppenwolf,1968,E Standard,Rock Hits 60s-70s 2,"January 29, 2013",Rock Hits 60s-70s 2,"January 29, 2013"
Surrender,Cheap Trick,1978,E Standard,Rock Hits 60s-70s 2,"January 29, 2013",Rock Hits 60s-70s 2,"January 29, 2013"
America's Suitehearts,Fall Out Boy,2008,Drop D,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
"Dance, Dance",Fall Out Boy,2005,E Standard,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
I Don't Care,Fall Out Boy,2008,E Standard,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
"Sugar, We're Goin Down",Fall Out Boy,2005,Drop D,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
Thnks fr th Mmrs,Fall Out Boy,2007,Drop D,Fall Out Boy,"February 5, 2013",Fall Out Boy,"February 5, 2013"
London Calling,The Clash,1979,E Standard,The Clash,"February 12, 2013",The Clash,"February 12, 2013"
Guns of Brixton,The Clash,1979,E Standard,The Clash,"February 12, 2013",The Clash,"February 12, 2013"
Should I Stay or Should I Go,The Clash,1982,E Standard,The Clash,"February 12, 2013",The Clash,"February 12, 2013"
Black Betty,Ram Jam,1977,E Standard,Rock Hits 70s & 80s,"February 19, 2013",Rock Hits 70s & 80s,"February 19, 2013"
Carry On Wayward Son,Kansas,1976,E Standard,Rock Hits 70s & 80s,"February 19, 2013",Rock Hits 70s & 80s,"February 19, 2013"
You've Got Another Thing Comin',Judas Priest,1982,E Standard,Rock Hits 70s & 80s,"February 19, 2013",Rock Hits 70s & 80s,"February 19, 2013"
Wish You Were Here,Incubus,2001,E Standard,Incubus,"February 26, 2013",Incubus,"February 26, 2013"
Anna Molly,Incubus,2006,E Standard,Incubus,"February 26, 2013",Incubus,"February 26, 2013"
Love Hurts,Incubus,2008,E Standard,Incubus,"February 26, 2013",Incubus,"February 26, 2013"
Burnin' For You,Blue Öyster Cult,1981,E Standard,Rock Hits 80s 2 + Blue Öyster Cult Song Pack,"March 5, 2013",Rock Hits 80s 2 + Blue Öyster Cult Song Pack,"March 5, 2013"
Blister in the Sun,Violent Femmes,1983,E Standard,Rock Hits 80s 2,"March 5, 2013",Rock Hits 80s 2,"March 5, 2013"
Cult of Personality,Living Colour,1988,E Standard,Rock Hits 80s 2,"March 5, 2013",Rock Hits 80s 2,"March 5, 2013"
Lovesong,The Cure,1989,E Standard,The Cure Song Pack,"March 19, 2013",The Cure Song Pack,"March 19, 2013"
Just Like Heaven,The Cure,1987,E Standard,The Cure Song Pack,"March 19, 2013",The Cure Song Pack,"March 19, 2013"
The End of the World,The Cure,2004,E Standard: A445,The Cure Song Pack,"March 19, 2013",The Cure Song Pack,"March 19, 2013"
Have You Ever Seen the Rain,Creedence Clearwater Revival,1970,E Standard,Rock Hits 1970s 2,02.04.13,Rock Hits 1970s 2,02.04.13
Southbound,The Allman Brothers Band,1973,E Standard,Rock Hits 1970s 2 + The Allman Brothers Band pack,02.04.13,Rock Hits 1970s 2 + The Allman Brothers Band pack,02.04.13
Ballroom Blitz,Sweet,1973,E Standard,Rock Hits 1970s 2,02.04.13,Rock Hits 1970s 2,02.04.13
Get Free,The Vines,2002,E Standard,Rock Hits 00's,16.04.13,Rock Hits 00s,16.04.13
The Good Left Undone,Rise Against,2007,E♭ Standard,Rock Hits 00's,16.04.13,Rock Hits 00s,16.04.13
Float On,Modest Mouse,2004,E Standard,Rock Hits 00's,16.04.13,Rock Hits 00's,16.04.13
White Wedding,Billy Idol,1982,E Standard,Rock Hits 80s 3,30.04.13,Rock Hits 80s 3,30.04.13
Eye Of The Tiger,Survivor,1982,E Standard,Rock Hits 80s 3,30.04.13,Rock Hits 80s 3,30.04.13
Here Comes Your Man,The Pixies,1989,E Standard,Rock Hits 80s 3,30.04.13,Rock Hits 80s 3,30.04.13
Misery,Maroon 5,2011,E Standard,Maroon 5 Pack,"May 14, 2013",Maroon 5 Pack,"May 14, 2013"
Harder to Breathe,Maroon 5,2002,E Standard,Maroon 5 Pack,"May 14, 2013",Maroon 5 Pack,"May 14, 2013"
She Will Be Loved,Maroon 5,2002,E Standard,Maroon 5 Pack,"May 14, 2013",Maroon 5 Pack,"May 14, 2013"
Call Me,Blondie,1980,E Standard,Rock Hits '80's #4,"May 28, 2013",Rock Hits '80's #4,"May 28, 2013"
867-5309/Jenny,Tommy Tutone,1982,E Standard,Rock Hits '80's #4,"May 28, 2013",Rock Hits '80's #4,"May 28, 2013"
Jessie's Girl,Rick Springfield,1981,E Standard,Rock Hits '80's #4,"May 28, 2013",Rock Hits '80's #4,"May 28, 2013"
25 or 6 to 4,Chicago,1970,E Standard,None,"October 22, 2013",None,
The Sky Is Crying,Albert King,1969,E Standard,None,"October 22, 2013",None,
Cherub Rock,The Smashing Pumpkins,1993,E Standard,None,"October 22, 2013",None,
Elephant,Tame Impala,2012,D Standard,None,"October 22, 2013",None,
"Mind Eraser, No Chaser",Them Crooked Vultures,2009,E Standard,None,"October 22, 2013",None,
Hate To Say I Told You So,The Hives,2000,E Standard,None,"October 22, 2013",None,
